"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team"
"151",151,30,"SS Iyer","2015-2016",20,"20","1","469","83","24.68","385","121.81","0","4","5","43","22","DD"
"152",152,31,"KM Jadhav","2010-2015",41,"37","14","566","63*","24.60","421","134.44","0","2","4","44","21","DD"
"153",153,32,"DPMD Jayawardene","2012-2013",33,"32","3","691","66","23.82","637","108.47","0","5","1","82","9","DD"
"154",154,33,"MC Juneja","2013-2013",7,"7","0","125","49","17.85","128","97.65","0","0","0","11","1","DD"
"155",155,34,"KD Karthik","2008-2014",60,"53","8","1128","69","25.06","895","126.03","0","7","2","96","33","DD"
"156",156,35,"S Kaul","2013-2014",11,"3","3","9","7*","-","11","81.81","0","0","0","0","0","DD"
"157",157,36,"Z Khan","2015-2016",19,"2","0","6","4","3.00","13","46.15","0","0","0","1","0","DD"
"158",158,37,"AB McDonald","2009-2011",6,"5","3","76","33*","38.00","63","120.63","0","0","0","3","2","DD"
"159",159,38,"GD McGrath","2008-2009",16,"3","2","4","4*","4.00","5","80.00","0","0","1","1","0","DD"
"160",160,39,"MF Maharoof","2008-2010",20,"14","4","177","39","17.70","123","143.90","0","0","2","12","9","DD"
"161",161,40,"VY Mahesh","2008-2010",13,"5","3","15","6*","7.50","27","55.55","0","0","0","0","0","DD"
"162",162,41,"M Manhas","2008-2010",21,"15","7","257","32*","32.12","245","104.89","0","0","2","23","1","DD"
"163",163,42,"AD Mathews","2015-2015",11,"10","3","144","28","20.57","104","138.46","0","0","1","12","6","DD"
"164",164,43,"GJ Maxwell","2012-2012",2,"2","1","6","3*","6.00","11","54.54","0","0","0","0","0","DD"
"165",165,44,"BMAJ Mendis","2013-2013",3,"3","0","23","12","7.66","27","85.18","0","0","1","0","0","DD"
"166",166,45,"A Mishra","2008-2016",61,"23","9","129","31","9.21","162","79.62","0","0","3","6","2","DD"
"167",167,46,"Mohammad Asif","2008-2008",8,"2","0","3","3","1.50","6","50.00","0","0","1","0","0","DD"
"168",168,47,"Mohammed Shami","2014-2016",20,"6","4","5","2*","2.50","11","45.45","0","0","1","0","0","DD"
"169",169,48,"JA Morkel","2015-2015",4,"3","2","86","73*","86.00","65","132.30","0","1","0","9","2","DD"
"170",170,49,"M Morkel","2011-2013",41,"16","7","118","23*","13.11","75","157.33","0","0","5","10","5","DD"
"171",171,50,"CH Morris","2016-2016",12,"7","4","195","82*","65.00","109","178.89","0","1","1","15","12","DD"
"172",172,51,"DJ Muthuswami","2015-2015",6,"2","1","1","1","1.00","3","33.33","0","0","0","0","0","DD"
"173",173,52,"S Nadeem","2011-2016",48,"14","5","24","6","2.66","61","39.34","0","0","3","1","0","DD"
"174",174,53,"Y Nagar","2009-2012",27,"21","6","295","44*","19.66","277","106.49","0","0","2","20","9","DD"
"175",175,54,"KK Nair","2016-2016",14,"12","2","357","83*","35.70","297","120.20","0","3","0","40","6","DD"
"176",176,55,"DP Nannes","2009-2010",26,"2","1","4","3","4.00","13","30.76","0","0","0","0","0","DD"
"177",177,56,"JDS Neesham","2014-2014",4,"3","0","42","22","14.00","46","91.30","0","0","0","3","1","DD"
"178",178,57,"P Negi","2012-2016",21,"13","7","101","19*","16.83","101","100.00","0","0","1","7","4","DD"
"179",179,58,"A Nehra","2009-2013",30,"8","3","25","22*","5.00","29","86.20","0","0","3","2","1","DD"
"180",180,59,"NV Ojha","2011-2013",38,"35","7","437","64*","15.60","412","106.06","0","1","3","34","25","DD"
"181",181,60,"RR Pant","2016-2016",10,"10","2","198","69","24.75","152","130.26","0","1","0","19","6","DD"
"182",182,61,"WD Parnell","2014-2014",8,"2","1","2","2","2.00","2","100.00","0","0","0","0","0","DD"
"183",183,62,"IK Pathan","2011-2013",50,"40","15","490","44*","19.60","442","110.85","0","0","2","36","15","DD"
"184",184,63,"KP Pietersen","2012-2014",23,"22","4","672","103*","37.33","511","131.50","1","3","1","61","28","DD"
"185",185,64,"BJ Rohrer","2013-2013",8,"8","2","193","64*","32.16","140","137.85","0","1","0","21","5","DD"
"186",186,65,"AD Russell","2012-2013",7,"4","0","58","31","14.50","40","145.00","0","0","0","3","3","DD"
"187",187,66,"AM Salvi","2009-2011",8,"-","-","-","-","-","-","-","-","-","-","-","-","DD"
"188",188,67,"SV Samson","2016-2016",14,"14","3","291","60","26.45","259","112.35","0","1","0","20","8","DD"
"189",189,68,"GS Sandhu","2015-2015",3,"-","-","-","-","-","-","-","-","-","-","-","-","DD"
"190",190,69,"PJ Sangwan","2008-2010",30,"10","5","19","6*","3.80","31","61.29","0","0","2","0","0","DD"
"191",191,70,"V Sehwag","2008-2013",86,"85","5","2382","119","29.77","1504","158.37","1","17","7","292","89","DD"
"192",192,71,"OA Shah","2009-2009",4,"4","1","74","39*","24.66","70","105.71","0","0","1","4","2","DD"
"193",193,72,"R Sharma","2014-2014",2,"-","-","-","-","-","-","-","-","-","-","-","-","DD"
"194",194,73,"Shoaib Malik","2008-2008",7,"5","1","52","24","13.00","47","110.63","0","0","0","5","0","DD"
"195",195,74,"LR Shukla","2014-2014",5,"3","0","31","21","10.33","38","81.57","0","0","1","2","1","DD"
"196",196,75,"R Shukla","2014-2014",3,"3","2","18","14","18.00","21","85.71","0","0","0","2","0","DD"
"197",197,76,"S Sriram","2011-2011",1,"1","0","4","4","4.00","7","57.14","0","0","0","0","0","DD"
"198",198,77,"LRPL Taylor","2012-2014",20,"19","3","298","55","18.62","267","111.61","0","1","1","19","9","DD"
"199",199,78,"MK Tiwary","2008-2015",27,"22","8","355","61*","25.35","313","113.41","0","1","2","40","5","DD"
"200",200,79,"SS Tiwary","2015-2015",7,"6","6","109","28*","-","78","139.74","0","0","0","9","5","DD"
"201",201,80,"JD Unadkat","2014-2015",10,"2","1","1","1*","1.00","6","16.66","0","0","1","0","0","DD"
"202",202,81,"RE van der Merwe","2011-2013",10,"6","4","36","14","18.00","41","87.80","0","0","0","3","0","DD"
"203",203,82,"Y Venugopal Rao","2011-2013",25,"21","3","468","60","26.00","406","115.27","0","1","0","38","18","DD"
"204",204,83,"DL Vettori","2008-2010",12,"7","4","67","29","22.33","59","113.55","0","0","0","7","0","DD"
"205",205,84,"M Vijay","2014-2014",11,"11","0","207","52","18.81","192","107.81","0","1","1","20","5","DD"
"206",206,85,"MS Wade","2011-2011",3,"3","0","22","11","7.33","33","66.66","0","0","0","0","0","DD"
"207",207,86,"DA Warner","2009-2013",57,"56","5","1456","109*","28.54","1096","132.84","2","10","5","150","58","DD"
"208",208,87,"J Yadav","2015-2016",8,"2","0","6","5","3.00","10","60.00","0","0","0","0","0","DD"
"209",209,88,"UT Yadav","2010-2013",51,"15","11","45","12*","11.25","56","80.35","0","0","2","3","1","DD"
"210",210,89,"Yuvraj Singh","2015-2015",14,"13","0","248","57","19.07","210","118.09","0","2","1","23","10","DD"
"211",211,1,"S Ladda","-1",1,"-","-","-","-","-","-","-","-","-","-","-","-","GL"
"212",212,2,"AD Nath","-1",4,"3","0","20","12","6.66","27","74.07","0","0","0","1","0","GL"
"213",213,3,"DJ Bravo","-1",15,"13","5","99","22*","12.37","82","120.73","0","0","1","11","1","GL"
"214",214,4,"ER Dwivedi","-1",4,"2","0","24","19","12.00","14","171.42","0","0","0","2","2","GL"
"215",215,5,"JP Faulkner","-1",7,"5","2","77","32","25.66","59","130.50","0","0","0","7","0","GL"
"216",216,6,"AJ Finch","-1",13,"12","2","393","74","39.30","299","131.43","0","5","2","45","11","GL"
"217",217,7,"Ishan Kishan","-1",5,"5","0","42","27","8.40","41","102.43","0","0","1","5","0","GL"
"218",218,8,"RA Jadeja","-1",15,"15","6","191","36*","21.22","177","107.90","0","0","1","14","4","GL"
"219",219,9,"SB Jakati","-1",6,"1","1","1","1*","-","2","50.00","0","0","0","0","0","GL"
"220",220,10,"KD Karthik","-1",16,"15","2","335","53","25.76","266","125.93","0","3","1","38","3","GL"
"221",221,11,"S Kaushik","-1",7,"2","1","0","0*","0.00","1","0.00","0","0","1","0","0","GL"
"222",222,12,"DS Kulkarni","-1",14,"5","3","27","10","13.50","16","168.75","0","0","0","3","0","GL"
"223",223,13,"P Kumar","-1",16,"7","3","24","15","6.00","26","92.30","0","0","1","3","0","GL"
"224",224,14,"BB McCullum","-1",16,"16","0","354","60","22.12","262","135.11","0","1","1","38","16","GL"
"225",225,15,"SK Raina","-1",15,"15","1","399","75","28.50","312","127.88","0","3","0","39","10","GL"
"226",226,16,"PJ Sangwan","-1",2,"-","-","-","-","-","-","-","-","-","-","-","-","GL"
"227",227,17,"DR Smith","-1",12,"12","1","324","73","29.45","221","146.60","0","3","1","35","16","GL"
"228",228,18,"DW Steyn","-1",1,"1","0","1","1","1.00","2","50.00","0","0","0","0","0","GL"
"229",229,19,"PV Tambe","-1",7,"1","1","7","7*","-","19","36.84","0","0","0","1","0","GL"
"230",230,1,"S Ladda","2011-2013",3,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"231",231,2,"AB Agarkar","2008-2010",27,"17","9","160","39","20.00","132","121.21","0","0","0","12","5","KKR"
"232",232,3,"Anureet Singh","2009-2009",3,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"233",233,4,"Azhar Mahmood","2015-2015",1,"1","0","6","6","6.00","7","85.71","0","0","0","1","0","KKR"
"234",234,5,"L Balaji","2011-2013",42,"5","4","13","9*","13.00","12","108.33","0","0","1","1","0","KKR"
"235",235,6,"SB Bangar","2009-2009",1,"1","0","2","2","2.00","9","22.22","0","0","0","0","0","KKR"
"236",236,7,"R Bhatia","2011-2013",54,"27","12","240","26*","16.00","219","109.58","0","0","0","19","6","KKR"
"237",237,8,"MS Bisla","2011-2014",38,"37","1","719","92","19.97","628","114.49","0","3","2","83","23","KKR"
"238",238,9,"SE Bond","2010-2010",8,"1","0","1","1","1.00","2","50.00","0","0","0","0","0","KKR"
"239",239,10,"J Botha","2015-2015",4,"3","0","31","17","10.33","15","206.66","0","0","0","5","1","KKR"
"240",240,11,"MV Boucher","2011-2011",4,"3","2","6","5","6.00","6","100.00","0","0","0","0","0","KKR"
"241",241,12,"KC Cariappa","2015-2015",1,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"242",242,13,"PP Chawla","2014-2016",42,"18","8","121","22","12.10","95","127.36","0","0","4","15","3","KKR"
