"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"320","Daredevils","Kings XI","Daredevils","5 wickets","Delhi","May 15, 2012","T20"
"321","Mum Indians","KKR","KKR","32 runs","Mumbai","May 16, 2012","T20"
"322","Kings XI","Super Kings","Kings XI","6 wickets","Dharamsala","May 17, 2012","T20"
"323","Daredevils","RCB","RCB","21 runs","Delhi","May 17, 2012","T20"
"324","Chargers","Royals","Chargers","5 wickets","Hyderabad (Deccan)","May 18, 2012","T20"
"325","Kings XI","Daredevils","Daredevils","6 wickets","Dharamsala","May 19, 2012","T20"
"326","Warriors","KKR","KKR","34 runs","Pune","May 19, 2012","T20"
"327","Chargers","RCB","Chargers","9 runs","Hyderabad (Deccan)","May 20, 2012","T20"
"328","Royals","Mum Indians","Mum Indians","10 wickets","Jaipur","May 20, 2012","T20"
"329","Daredevils","KKR","KKR","18 runs","Pune","May 22, 2012","T20"
"330","Super Kings","Mum Indians","Super Kings","38 runs","Bangalore","May 23, 2012","T20"
"331","Daredevils","Super Kings","Super Kings","86 runs","Chennai","May 25, 2012","T20"
"332","KKR","Super Kings","KKR","5 wickets","Chennai","May 27, 2012","T20"
"333","Super Kings","KKR","Super Kings","2 runs","Chennai","Apr 8, 2011","T20"
"334","Chargers","Royals","Royals","8 wickets","Hyderabad (Deccan)","Apr 9, 2011","T20"
"335","Kochi","RCB","RCB","6 wickets","Kochi","Apr 9, 2011","T20"
"336","Daredevils","Mum Indians","Mum Indians","8 wickets","Delhi","Apr 10, 2011","T20"
"337","Warriors","Kings XI","Warriors","7 wickets","Mumbai","Apr 10, 2011","T20"
"338","KKR","Chargers","KKR","9 runs","Kolkata","Apr 11, 2011","T20"
"339","Royals","Daredevils","Royals","6 wickets","Jaipur","Apr 12, 2011","T20"
